department,Environment,subscription_name,resource_identifier,resource_type,resource_location,consecutive_days,description, potential monthly savings ,,,,,,
pink,prd,pink-flamingo-galatzarcive-prd-001,archivenewcvodatadisk4,disks,westeurope,13,not attached to a vm,  392 ,,,"'archivenewcvodatadisk4',",,,"'pink-flamingo-galatzarcive-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,matantest_datadisk_1,disks,westeurope,13,not attached to a vm,  190 ,,,"'matantest_datadisk_1',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,matantest_datadisk_0,disks,westeurope,13,not attached to a vm,  190 ,,,"'matantest_datadisk_0',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,lotem_datadisk_1,disks,westeurope,13,not attached to a vm,  190 ,,,"'lotem_datadisk_1',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,yara-test-vm_datadisk_0,disks,westeurope,13,not attached to a vm,  190 ,,,"'yara-test-vm_datadisk_0',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,lotem_datadisk_0,disks,westeurope,13,not attached to a vm,  190 ,,,"'lotem_datadisk_0',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,yara-test-vm_datadisk_1,disks,westeurope,13,not attached to a vm,  190 ,,,"'yara-test-vm_datadisk_1',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-mampm-prd-002,supportdisk,disks,centralus,13,not attached to a vm,  173 ,,,"'supportdisk',",,,"'turkiz-starfish-mampm-prd-002',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,datacluster-f8mdw-dynamic-pvc-633b706c-4f6b-4001-96e6-84f330d092b5,disks,westeurope,13,not attached to a vm,  103 ,,,"'datacluster-f8mdw-dynamic-pvc-633b706c-4f6b-4001-96e6-84f330d092b5',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,datacluster-f8mdw-dynamic-pvc-150fbb97-7164-48a8-95a3-b7d1aa65f27b,disks,westeurope,13,not attached to a vm,  103 ,,,"'datacluster-f8mdw-dynamic-pvc-150fbb97-7164-48a8-95a3-b7d1aa65f27b',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,luzon,disks,westeurope,13,not attached to a vm,  103 ,,,"'luzon',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,luzalwayson2event,disks,westeurope,13,not attached to a vm,  103 ,,,"'luzalwayson2event',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,datacluster-f8mdw-dynamic-pvc-1849d28a-f514-4b69-b959-de00414718a4,disks,westeurope,13,not attached to a vm,  103 ,,,"'datacluster-f8mdw-dynamic-pvc-1849d28a-f514-4b69-b959-de00414718a4',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,datacluster-f8mdw-dynamic-pvc-e7744417-7530-4506-9ea7-ff9f7cb39b0f,disks,westeurope,13,not attached to a vm,  103 ,,,"'datacluster-f8mdw-dynamic-pvc-e7744417-7530-4506-9ea7-ff9f7cb39b0f',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,extrastorage,disks,westeurope,13,not attached to a vm,  100 ,,,"'extrastorage',",,,"'turkiz-starfish-paasmamram-dev-001',"
