department,Environment,subscription_name,resource_identifier,resource_type,resource_location,consecutive_days,description,potential monthly savings
turkiz,dev,turkiz-key-bladeforce-dev-001,gitlab-ip,microsoft.network/publicipaddresses,eastus,13,not associated with a nic,9.192959785
turkiz,dev,turkiz-starfish-semca-dev-001,project-apache-ip,microsoft.network/publicipaddresses,westeurope,5,not associated with a nic,8.842194653
turkiz,dev,turkiz-starfish-cloudlets-dev-001,rhel-92-x86-ip,microsoft.network/publicipaddresses,westeurope,13,not associated with a nic,6.894719839
turkiz,tst,turkiz-starfish-mamauthsolutions-tst-001,sql2-ip,microsoft.network/publicipaddresses,westeurope,13,not associated with a nic,6.894719839
turkiz,tst,turkiz-starfish-mamauthsolutions-tst-001,ex02-publicip,microsoft.network/publicipaddresses,westeurope,13,not associated with a nic,6.56640017
turkiz,prd,turkiz-starfish-clickmamram-prd-004,dc01-nic,microsoft.network/publicipaddresses,eastus,13,not associated with a nic,6.56640017
turkiz,tst,turkiz-starfish-mamauthsolutions-tst-001,adfs01-publicip,microsoft.network/publicipaddresses,westeurope,13,not associated with a nic,6.56640017
turkiz,tst,turkiz-starfish-mamauthsolutions-tst-001,vm1234mid1sql1-ip,microsoft.network/publicipaddresses,westeurope,8,not associated with a nic,4.596479893
turkiz,tst,turkiz-starfish-mamauthsolutions-tst-001,vm1234mid1wks-ip,microsoft.network/publicipaddresses,westeurope,8,not associated with a nic,4.596479893
turkiz,tst,turkiz-starfish-mamauthsolutions-tst-001,noam3-sql-ip,microsoft.network/publicipaddresses,westeurope,13,not associated with a nic,4.596479893
turkiz,dev,turkiz-starfish-evenmit-dev-001,ext-fw,microsoft.network/publicipaddresses,northeurope,13,not associated with a nic,4.596479893
turkiz,tst,turkiz-starfish-mamauthsolutions-tst-001,vm123mid1dc1-ip,microsoft.network/publicipaddresses,eastus,13,not associated with a nic,4.596479893
turkiz,tst,turkiz-starfish-mamauthsolutions-tst-001,vm1234mid1sql2-ip,microsoft.network/publicipaddresses,westeurope,8,not associated with a nic,4.596479893
turkiz,prd,turkiz-starfish-mampm-prd-002,wsuswsussrv2ip986,microsoft.network/publicipaddresses,westeurope,13,not associated with a nic,4.596479893
turkiz,tst,turkiz-starfish-mamauthsolutions-tst-001,sql3-ip,microsoft.network/publicipaddresses,westeurope,12,not associated with a nic,4.596479893
turkiz,prd,turkiz-starfish-aufalze-prd-01,bgndevelopment-vnet-ip,microsoft.network/publicipaddresses,westeurope,13,not associated with a nic,4.596479893
turkiz,tst,turkiz-starfish-mamauthsolutions-tst-001,vm1234mid1web-ip,microsoft.network/publicipaddresses,eastus,13,not associated with a nic,4.596479893
turkiz,prd,turkiz-starfish-aufalze-prd-01,vnet-terminal-prod-ip,microsoft.network/publicipaddresses,westeurope,13,not associated with a nic,4.596479893
turkiz,dev,turkiz-starfish-semca-dev-001,inter-ca1-ip,microsoft.network/publicipaddresses,eastus,13,not associated with a nic,4.596479893
turkiz,dev,turkiz-starfish-evenmit-dev-001,app-gw-pip,microsoft.network/publicipaddresses,northeurope,13,not associated with a nic,4.596479893
turkiz,prd,turkiz-starfish-soc60-prd-001,zerman-ip,microsoft.network/publicipaddresses,westeurope,13,not associated with a nic,4.596479893
turkiz,dev,turkiz-starfish-paasmamram-dev-001,asagroup-vnet-ip,microsoft.network/publicipaddresses,eastus,13,not associated with a nic,4.596479893
turkiz,dev,turkiz-starfish-paasmamram-dev-001,asagroupvnet688-ip,microsoft.network/publicipaddresses,westeurope,13,not associated with a nic,4.596479893
turkiz,prd,turkiz-starfish-soc60-prd-001,tavernadevnetwork-ip,microsoft.network/publicipaddresses,westeurope,13,not associated with a nic,4.596479893
turkiz,tst,turkiz-starfish-mamauthsolutions-tst-001,eladspcacheip392,microsoft.network/publicipaddresses,westeurope,13,not associated with a nic,4.596479893
